And so what if it is a rebound relationship for both of you?	What if it is a rebound relationship for both of you?
Good luck in your search for the one!	Good luck in your search for your perfect match.
WHY DOES EVERYONE SEEM TO WANT SOMEONE THAT THEY CAN'T HAVE AND KNOW THAT THEY SHOULDN'T WANT.	Why does everyone seem to want someone that they cannot have and know that they should not want?
Do you like to argue and fight???	Do you like to argue and fight?
So if you're set on that, that's the way to go!!	If you are set on that, that is the way to go.
My ex of 3 years cheated.	I went out with my ex for three years and then he/she cheated.
Work at it but don't let him keep you locked up at home.	Work at it and do not let him keep you locked up at home.
>>Other than those two things, just ask him once in a while.	Other than two questions, ask him just once in awhile.
Also men get bored and tire way before woman do.	Also, men get bored and tired a long time before women do.
She's strong and loving and most of all...really wasn't as happy as she thought she was.	She is strong, loving, and wasn't as happy as she thought she was.
its one way of saying i don't like you!	It is another way to say that they don't like you.
King had a song about this - Only your Mother loves you (and see might be jiving too).	"King has a song about this, it is called ""Only Your Mother Loves You."""
He loves you, too, girl...Time will tell.	He loves you as well, but only time can tell what will happen.
he wants me to change how i look.	He wants me to change my appearance.
I know I have someone to come home to.	I relish the fact that I have someone to come home to.
did you fell goog because i want to have sex, but you have to be careful	Sex can feel great; but, you have to be careful.
you want all your friends forever?)	Do you want all your friends to be with you forever?
IT DOESN'T MEAN THAT YOU ARE SLUTTY.	It does not mean that you are a loose woman.
Going to a club and dancing.	You could try dancing at a club.
Don't go anywhere you went with him or her.	Do not go any place you went with him or her.
They're a lot of fun - there's plenty to do.	There is plenty to do and they are a lot of fun.
it all depends on when ur ready.	It all depends on when you are ready.
Stay 100 miles away from this guy.	Stay 100 miles away for this man.
Just be prepared cause if it happen once it can happen again!	You have to be prepared that if it happened one time, it can happen again.
I'm just looking for the girl who wants that time with me	I am looking for the girl who want to spend time with me.
Least not till he gets another girlfriend.	At least not until he gets another woman friend.
Wife says, We don't wear that shit.	"The wife says, ""We do not wear that."""
if you're asking, then you should break-up w/ and open yourself to other options.	If you are asking, then you should break up with him/her and then open yourself up to other options.
why do gays want to get married?	Why do homosexuals want to get married?
(saying sorry to him without commiting a mistake is humilation to ur self...AND DON'T EVER GET WEAK!!)	Do not apologize if you have not made a mistake.
do you have to rush your choice?	do you have to rush the choice?
THEY BOTH DONT RESPECT YOUR FEELING.	Both of them do not respect your feelings.
No seriously, think about howmany cocky girls are out there.	No seriously, think about how many arrogant women are out there.
She is too afraid to ask him out.	She is too shy to ask him out.
get a grip, how can you love someone that you don't even communicate with.	Get a brain, how can you love someone that you do not even communicate with.
i'd ask you out, but i live in Oregon and have no idea where you live...	I would ask you out, but I live in Oregon and have no idea where you live.
they have never proformed before and it doubles the plesure!	They have never performed before, and it doubles the pleasure.
i'll probably go and see one.	I will probably go and see one of them.
Either way, best of luck but I'm just glad that I have brown hair!!	In any case, I wish you best of luck although I am glad that I have brown hair.
Mail me a pick honorarius@yahoo.com and I will tell you...	Send me an e-mail at honorarius@yahoo.com, and I will let you know.
it is absolutely just a challenge!!!!!!!!!!!	It is absolutely a great challenge.
well-im  girl so ill help u out.	I am a girl so I am will to help you out.
Dont tell them but let them find out once your in bed with her.	Do not inform them but allow them to discover it once you are in bed with her.
if i would've kept my last name its just a freakin name.	If I would have kept my last name. It is merely a name.
i hardly everrr see him in school either usually i see hima t my brothers basketball games .	I rarely see him in school either, I typically see him at my brother's basketball games.
he's telling that to some gurls too... he's a womanizer..	He is stating that to some women as well. He is a Lothario.
DROP HIS BUTTT, THERE ARE PLENTY OF FISH IN THE SEA OF AMORE:0)	Leave him, there are plenty of men out there.
I know because I am just like your wife.	I know this because I have a similar personality to your wife.
when she calls, text her back	When she calls, text her back instead.
No way im 5`4 and he`s 6`2	No, I am 5ft 4inches and he is 6ft and 2inches.
Dont you know the number one rule, Trust No One.	Don't you know the cardinal rule is to never trust anyone?
we've tried breakin up a couple times but it never happens.	We have tried to break-up a couple of times, but it does not happen.
Oh and some because theyre thin and skinny and nowadays anorexic girls are a turn on.	Also some who are thin and skinny because these days anorexic girls are attractive.
if u have penis than its no problem u just hv to  penitrate her pussy with ur errect penis.	You would use your erect penis to penetrate her vagina.
in that case tkake some defense classes.	In that case, you should take some defense classes.
I just got out of a 3 yr relationship with my baby's father.	I just ended a three-year relationship with the father of my baby.
what happened when the politician took viagra?	What happened when the politician ingested viagra?
Hi, my name is xxxxxx  Been working for me for years.	Hello, my name is xxxx has been working for me for years.
i can onli say...women r complicated...	I can only state that women are complicated.
We like soft approch and a lil bit of chasing.	We enjoy a gentle approach and a tiny bit of chasing.
you would be genuinly suprised in the type of people that go to them.	You would actually be surprised at the kind of people that go to them.
it is very fun and enjoyable especially when you meet each other after texting a few months	It is invigorating, especially when you meet each other again after texting for several months.
Hey, I'm in NYC I'll help you out if your around!	I am in New York currently, I'd love to show you around if you'd like.
Sounds strange but it worked in about 3-5 days for me!	It sounds strange, but it worked in 3-5 days.
Don't worry, I aint working with much either.	Don't worry, I don't have that many option myself.
why does it matter what they think if they dont get along dont spend time togather.	Why does it matter what the think, if they don't even take the effort to get along or spend time together?
if he is then you have a good man.	You have a good man, if he is.
If He Likes You, You'll Know!	You will know if he is attracted to you!
i guess its normal, but id just move on	I suppose it is normal, but I would just move on.
The rest is easy from there!!	From there, the rest is easy!
I like any guy that is funny.	I am attracted to any man that is funny.
Girl only you can decide on this...	Only you can decide on this, woman.
Why do you ask this question??????????????	Why do you ask this question?
do go telling everyone just because you think thats right.	Do not go telling everyone, just because you think that is the right thing to do.
10 years gap is just nice.	A ten-year gap is just nice.
Then if he still doesn't like you, then move on.	Then move on if he still does not like you.
ok i see him ever week in psr but i just cant talk to him!!!	I see him every week but I just cannot talk to him.
Beacuse they feel insecure with less educated guys..........	That is because they feel insecure with less educated men.
For one thing if it doesn't work out there goes your job.	For one thing, there goes your job if it does not work out.
And I hope to God it doesn't ever pass!	And I just pray that it never passes!
Only the ones that aren't worth your time	It is only the ones that are not worth your time.
smaller of course, and it is all about LOOKS!!	Smaller, of course, and it is all about looks!
You guys don't have any reason to hate each other.	You guys do not have any reason to hate each other.
If you don't you'll always wonder.	If you do not, you will always wonder.
Some people choose not to because of thier religion, others don't.	Some people choose not to due to their religion, others do not.
give it a chance because if you break up with them it would be harder to be friends	Give it a chance, if you break up with them it will be harder to remain friends.
The Best of Luck to ya!	Best of luck!
Men who were not ready to committ.	Men who were not ready to commit.
this is a big day in both of your lives, it shouldnt be done quickly and without thought.	This is a big day in both of your lives and it should not be done quickly and without thought.
i'm 55 years old and still live at home with my mammy,whats wrong with that!!!!	I am fifty-five years old and still live at home with my mother, what is wrong with that?
one man willing to move 21 hours/1,400 miles just to be with me.	One man willing to move twenty-one hours and fourteen hundred miles just to be with me.
I must not be ugly enough then	I must not be unattractive enough.
but thats ok. im a GIVER.WINK, WINK.	That is alright, I am a giver.
well depend on women wot she want	It depends on what the woman wants.
REMEMBER IT TAKES TWO NOT ONE	Remember that it takes two, not one.
if he really didn't like her and did like you, then he would have already dumped her for you.	If he did not like her and likes you, then he would have already broken up with her for you.
hang around untill the bar closes -- or visit a prison	Remain until the tavern closes, or visit a prison.
PLEASE DONT MISS OUT ON THIS ONE !!	Please do not miss out on this one.
Because believe it or not, women hate cocky men.	Because, believe it or not, women hate cocky men.
But stick with wats inside of u.	Stick with what's inside of you.
Hell, it happened to me twice.	It happened to me twice.
Maybe your young, I don't know.	Maybe you're young, I don't know.
No matter what he says, Action speaks louder then words	No matter what he says, actions speak louder than words.
aint nothing in the world like a big boned gurl!	I like a big boned girl.
( even if he  is rich, dont sell ur self.	Do not sell yourself, even if he is rich.
just moved to Sacramento, Gay male, 30	I just moved to Sacramento. I am a homosexual male, age 30.
the people who are around you now, like your friends, should like you no matter what!	The people around you, including friends, should like you for who you are.
cuz they like the little titis and pussys	They like tiny women.
Wait til you get older and if you both STILL feel the same way then go for it!	Wait until you are older, and if you have the same feelings then you should go for it!
yes im not one of those people but i know there are lots of them	I am not that type of person, however I know plenty of people like that.
No, not if you have to ask...	If you have to ask, then that is a negative.
and you want to suck another man's D**K???	You want to be together with someone else?
coz they are girls man and they are not as sofisticated as we are !	They are woman enough for a man, but they aren't as sophisticated as us.
'...does this mean he likes me?.	Does this mean that he likes me?
