And so what if it is a rebound relationship for both of you?	What if it is a rebound relationship for both of you?	Is it a rebound relationship for both of you?	So what if it is a rebound relationship for the two of you?	What does it matter if it is a rebound relationship for you both?
Good luck in your search for the one!	Good luck in your search for your perfect match.	Good luck in your search for a new love.	Good luck in your search for the one!	"I wish you luck in your search for ""the one""."
WHY DOES EVERYONE SEEM TO WANT SOMEONE THAT THEY CAN'T HAVE AND KNOW THAT THEY SHOULDN'T WANT.	Why does everyone seem to want someone that they cannot have and know that they should not want?	Why do people seem to want someone they can not have, and know they should not want?	Why does everyone seem to want somebody that they cannot have and know that they should not want.	Why is it that everyone seems to want someone that they can not have and know that they should not want?
Do you like to argue and fight???	Do you like to argue and fight?	Do you like to argue and fight?	Do you like to argue and fight?	Are you someone who enjoys arguing and fighting?
So if you're set on that, that's the way to go!!	If you are set on that, that is the way to go.	If that is your decision, then that is what you should do.	So that is the way to go if you are set on that.	If you are set on that, then that is the way to go.
My ex of 3 years cheated.	I went out with my ex for three years and then he/she cheated.	My ex of three years cheated on me.	My three years ex cheated on me.	I dated someone for 3 years and they cheated on me.
Work at it but don't let him keep you locked up at home.	Work at it and do not let him keep you locked up at home.	Work at it, but do not allow him to keep you locked up at home.	Work at it but don't let him keep you locked up at home.	Work on your relationship, but do not let him keep you locked up at home.
>>Other than those two things, just ask him once in a while.	Other than two questions, ask him just once in awhile.	Other than those two things, ask him once in awhile.	Other than those two things, just ask him once in a while.	Ask him how he is once in a while.
Also men get bored and tire way before woman do.	Also, men get bored and tired a long time before women do.	Men get bored and tired before women do.	Also men get bored and tire way before women do.	Men get bored before women do.
She's strong and loving and most of all...really wasn't as happy as she thought she was.	She is strong, loving, and wasn't as happy as she thought she was.	She is really tough and loving and above all...really was not as happy as she appeared to be.	She is strong, loving, and was not as happy as she thought.	She is strong and loving and most of all really was not as happy as she seemed to be.
its one way of saying i don't like you!	It is another way to say that they don't like you.	It is one way of stating I do not like you!	"It is one way of saying, ""I do not like you."""	It is one way of saying that you do not like them.
King had a song about this - Only your Mother loves you (and see might be jiving too).	"King has a song about this, it is called ""Only Your Mother Loves You."""	King did have a song about this=Only Your Mother Loves You (and find Might be Jiving too).	"King made a song about this: ""Only Your Mother Loves You (and She Might be Jiving Too)."""	"King had a song about this:""Only your Mother Loves You (and she might be jiving, too)""."
He loves you, too, girl...Time will tell.	He loves you as well, but only time can tell what will happen.	He loves you too, lady...time will tell.	He loves you, as well. Time will tell.	He loves you too and time will tell.
he wants me to change how i look.	He wants me to change my appearance.	He wants me to change how I look.	My partner wants me to change my appearance.	He wants me to change how I look.
I know I have someone to come home to.	I relish the fact that I have someone to come home to.	I know I have someone to come home to.	I know I have someone who will be waiting when I come home.	I know I have someone, to whom I come home.
did you fell goog because i want to have sex, but you have to be careful	Sex can feel great; but, you have to be careful.	I do not know if you fell down, but I want to have sex.	I want to have sex with my partner, but we must be careful.	Did it feel good? Because I want to have sex, but you have to be careful.
you want all your friends forever?)	Do you want all your friends to be with you forever?	Do you want to keep all of your friends forever?	Do you want all your friends forever?	You want all of your friendships to last forever?
IT DOESN'T MEAN THAT YOU ARE SLUTTY.	It does not mean that you are a loose woman.	Acting that way does not make you a slut.	That does not mean that you are promiscuious.	It does not mean that you are loose.
Going to a club and dancing.	You could try dancing at a club.	I enjoy going to a club and dancing.	You can try and go to a club and dance.	I am going to a club and dancing.
Don't go anywhere you went with him or her.	Do not go any place you went with him or her.	Don't go anywhere with you new date that you went with your ex.	Do not go to any place that you went with him/her.	Do not go anywhere you went with him or her.
They're a lot of fun - there's plenty to do.	There is plenty to do and they are a lot of fun.	Going there is great fun, and there are plenty of things to do.	There is pleanty to do, and it is a lot of fun.	They are tons of fun and plenty to do.
it all depends on when ur ready.	It all depends on when you are ready.	It will all depend on when you are ready.	It all depends on when you are ready.	It depends on when you are ready.
Stay 100 miles away from this guy.	Stay 100 miles away for this man.	Stay very far away from this man.	Stay one hundred miles away from this guy.	Stay 100 miles away from the man.
Just be prepared cause if it happen once it can happen again!	You have to be prepared that if it happened one time, it can happen again.	You should be prepared because if it happened once it could happen again.	Just be prepared because if it happened once, it can happen again!	Be prepared, because if it happens once, it can happen again.
I'm just looking for the girl who wants that time with me	I am looking for the girl who want to spend time with me.	I am looking for the girl who wants to spend time with me.	I am looking for a girl who wants to spend time with me.	I am looking for a girl who wants to spend time with me.
Least not till he gets another girlfriend.	At least not until he gets another woman friend.	At least not until he finds another girlfriend.	Probably not until he finds another girl.	He will get another girlfriend.
Wife says, We don't wear that shit.	"The wife says, ""We do not wear that."""	My wife says we don't wear things like that.	The wife told me that we do not wear that.	My wife does not like to wear those brands.
if you're asking, then you should break-up w/ and open yourself to other options.	If you are asking, then you should break up with him/her and then open yourself up to other options.	If you are uncertain, you should break up and open yourself to seeing other people.	If you have that question, then you should break up and open up to other options.	You should break up and keep yourself open to other options.
why do gays want to get married?	Why do homosexuals want to get married?	Why do same-sex couples want to be married?	Why do gay people want to get married?	Why do homosexuals look to marriage?
(saying sorry to him without commiting a mistake is humilation to ur self...AND DON'T EVER GET WEAK!!)	Do not apologize if you have not made a mistake.	Don't say sorry to him unless you've actually made a mistake.	You will just humiliate yourself if you apologize to him without committing a mistake. Do not get weak!	Avoid being weak by not saying sorry for something you did not do.
do you have to rush your choice?	do you have to rush the choice?	Do you have to rush this decision?	Do you have to make a fast choice?	Take time to decide.
THEY BOTH DONT RESPECT YOUR FEELING.	Both of them do not respect your feelings.	They both disrespect your feelings.	They both do not respect your feelings.	They do not respect your feelings.
No seriously, think about howmany cocky girls are out there.	No seriously, think about how many arrogant women are out there.	No, seriously. Think about how many arrogant women are out there.	I sincerely urge you to consider how many overly confident women exist.	No, seriously, think about the number of arrogant girls that are out there.
She is too afraid to ask him out.	She is too shy to ask him out.	She is frightened about asking him on a date.	She is too frightened to invite him on a date.	She is too scared to ask him to go out.
get a grip, how can you love someone that you don't even communicate with.	Get a brain, how can you love someone that you do not even communicate with.	Get a grip! How can you love someone, with whom you cannot even communicate?	Accept reality. How can you love a person with whom you do not even communicate?	Get a hold of yourself, how could you love a person that you do not even speak to?
i'd ask you out, but i live in Oregon and have no idea where you live...	I would ask you out, but I live in Oregon and have no idea where you live.	I would ask you on a date, but I live in Oregon, and I have no idea where you live.	I would invite you on a date but I live in Oregon and I am entirely uniformed as to where you live.	I would ask you to go out, but I live in Oregon and I have no idea where you live.
they have never proformed before and it doubles the plesure!	They have never performed before, and it doubles the pleasure.	They have never performed before, and it doubles the pleasure!	They have never performed before and this doubles the pleasure.	They have not performed previously and the pleasure is twice as nice!
i'll probably go and see one.	I will probably go and see one of them.	I will go and see one.	I will likely go and see one.	I will most likely go and see.
Either way, best of luck but I'm just glad that I have brown hair!!	In any case, I wish you best of luck although I am glad that I have brown hair.	I am happy that I have brown hair.	Either way, best of luck to you, however, I am glad that you have brown hair.	Ether way, I wish you the best, and I am happy that I have brown hair.
Mail me a pick honorarius@yahoo.com and I will tell you...	Send me an e-mail at honorarius@yahoo.com, and I will let you know.	If you email me, I can tell you the answer.	Mail me a photo to my email address honorarius@yahoo.com and I will tell you.	Send me a picture of you, and I will let you know.
it is absolutely just a challenge!!!!!!!!!!!	It is absolutely a great challenge.	It is a challange.	It is absolutely a challenge.	It is just a challenge.
well-im  girl so ill help u out.	I am a girl so I am will to help you out.	I will help you.	Well, I am female, so I will help you out.	I am a girl, so I can give you some advice.
Dont tell them but let them find out once your in bed with her.	Do not inform them but allow them to discover it once you are in bed with her.	Do not let them know in advance but rather allow them to discover once you are in bed together.	Don't state it specifically, let them figure it out when you're together.	Don't tell them but let them find out once you are in bed with her.
if i would've kept my last name its just a freakin name.	If I would have kept my last name. It is merely a name.	I should have kept my last name.	If I could, I would have kept my last name.	If I would've kept my last name its just freakin name.
i hardly everrr see him in school either usually i see hima t my brothers basketball games .	I rarely see him in school either, I typically see him at my brother's basketball games.	I rarely see him in school but I have seen him attending my brother's basketball games.	I hardly ever see him in school, usually I see him when I go to my brother's basketball games.	I hardly ever see him in school. I usually see him with my brothers playing basketball.
